"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10098","In the mini cart, taxes and shipping are not calculated until I have added a shipping address at checkout, but if there is a shipping address they are displayed appropriately in the mini cart here. [3]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","22543","When I go to a PDP for a product that supports embroidery, I should be able to add the product to cart with embroidery. If I add the same product without embroidery, it should show as a different line item [41]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","39743","On the Checkout Page, when showing shipment options, I will see estimated delivery times for each option ('Standard Transportation time 8 - 13' Days as an example) [10]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","14798","When I start typing in the search bar, I am presented with products as I type as long as there are relevant products [54]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","5122","On the Product Details Page, I am able to view the product name, discount price if it is on sale, contract price if under contract (generally applied to special users), total price and product description. [26]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","24186","On any page, I am able to open up the mini cart and see the details of what is currently in my cart. [0]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","9468","On the Product Details Page, when I select a variant that has a different retail/discount/contract price which differs from the parent product version of that pricing, the price below the product's name should be updated. [32]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","16925","On the Product Listing Page for a category of sufficient size, I am able to navigate to subsequent pages by using the pagination controls at the bottom of the page. [51]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","9993","[Real Madrid, BVB, Standard, Desktop] When I hover over a category in the navbar that has a \/ carot symbol, a visible panel appears and clearly shows the sections under that category with clickable links and images [17]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","8608","On the Product Listing Page, I am able to view breadcrumbs at the top of the page which represent the category hierarchy for that category. [49]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","2766","[Desktop] /robots.txt specifies Disallow paths for all user agents, all non-indexed user preference paths, and any paths for that storefront. It also specifies the URL of the sitemap [66]","chromium","2026-03-31","passed","2026-03-31","","08-seo.spec.ts","",""
"","14959","In the mini cart, line item prices appropriately take into account sale pricing and contract pricing. [2]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","11823","In the mini cart, I am able to modify the quantities of items in my cart [4]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","9761","On any page, when I look at a Product Card, I should be able to see that product's name, primary image, the highest priority product badge, retail price, discount price and contract price. [58]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","11189","When I go to a PDP for a product that supports embroidery, I should be able to add the product to cart with embroidery. When I add to cart, I should see the fields ""Logo Color"", ""Logo Placement"" and ""Logo Style"" populated [40]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","14940","On the Product Details Page, I am able to select variant options based on the products availability [31]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","10194","On the Product Details Page, I am able to view the product size guide for relevant products with size guides. [44]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","22771","Changing the sort order while on a page other than the first, resets users to the first page or results [52]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","15579","On the Product Details Page, minimum thresholds on products (primarily relevant to B2B) are appropriately respected, showing an error message when the minimum threshold of the product is not met and not allowing you to add to cart. [34]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","14897","[Desktop] When I visit the homepage, I can view every category in the navigation bar, none are cutoff or hidden [16]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","8793","[Desktop] Footer renders at the bottom of all pages, is translated to the selected language, has multiple columns of links that navigate to the appropriate page, and renders other information like accepted payments or social media links based on the storefront [24]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","18663","When I go to a PDP for a product that supports embroidery, I should be able to add or remove club logo and this should affect the price. The logo selector and logo placement should also only be seen when a logo is added [39]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","13141","On the Product Details Page, variant products work as expected with the above requirements and I am able to add them to cart appropriately. [37]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","11627","When I go to a PDP for a product that supports embroidery, I should see a checkbox with ""Add Club Logo"" that is checked by default, a dropdown to choose logos, and a logo placement option [43]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","15433","On the Product Details Page, the above product types with various add on additions work as expected and I am able to add them to cart appropriately. The primary example of this is B2B products, Personalizable products and BVB football academy products. [38]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","20060","[Desktop] On any page, I am able to open up the top navigation menu dropdown and select a category to navigate to that category's Product Listing Page. [45]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","15755","[Real Madrid, Standard] The first widget on the homepage should be a ""Hero Widget"", showing some advertising image across the whole screen with a CTA card on top of that image. [21]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","5668","404 pages render the sites theme for the navbar and footer, is translated to the selected language [23]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","8654","When I view the homepage, I see a cart icon that shows me my active cart if I have one, or a message telling me to shop/add items/continue shopping etc. if I don't have any items in my cart. [20]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","10518","[Desktop] On the Product Listing Page, I am able to open the sort dropdown and sort correctly by the various sort options in the dropdown (Best Sellers, Alphabetically, Price, Created Date) [60]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","22053","On the Checkout Page, Address Line 1 and Address Line 2 (in both shipping and billing) are limited to a maximum of 30 characters. [8]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","13733","Changing (adding or removing) selected facets while on a page other than the first, resets users to the first page of results [53]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","12127","On the Product Listing Page, I am able to view relevant products in that category. The products should be sorted to appropriately match the category's sort and pinning configuration in the admin. [47]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","3808","[Desktop] If relevant for the storefront, the sitemap index at /sitemap.xml includes links to sitemaps for each indexed user preference for that domain [65]","chromium","2026-03-31","passed","2026-03-31","","08-seo.spec.ts","",""
"","7231","On the Product Details Page, I am able to view the product images, displayed in a grid format or carousel. [27]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","12168","On the Product Details Page, standard products work as expected with the above requirements and I am able to add them to cart appropriately. [36]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","52087","On the Checkout Page, all fields only allow Latin characters plus a few exceptions for punctuation. The error message for this mentions not allowing ""non-western"" characters. [5]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","14929","[Real Madrid, BVB, Standard, Desktop] When I hover over a category in the navbar that has a \/ carot symbol, a visible panel appears and clearly shows the sections under that category with clickable links and images [18]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","9373","Static content pages, such as the privacy policy, renders the text set in Contentful for the selected language at `/content/{pageId}` [25]","chromium","2026-03-31","passed","2026-03-31","","04-static-content.spec.ts","",""
"","8873","On the Product Listing Page, I am able to view relevant content at the top of the category, including the category title, description and imagery. [48]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","15470","When I search for a specific product by name and hit search, I see that product in the returned list [55]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","58335","When I go to a PDP for a product that supports embroidery, I should be able to add the product to cart with embroidery. I should be able to go through checkout and the order confirmation page should show embroidery details [42]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","32491","On the Checkout Page, the State/Province/Region dropdown should be prepopulated with options relevant to my selected country. [9]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","28258","On the Checkout Page, I am prompted to enter my name, email and phone number. Name is limited to a maximum of 30 characters, email address must be a valid email address format and phone number should be normalized according to our phone number normalization logic. [6]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","9231","On the Product Details Page, maximum thresholds on products (both per cart and per customer) are appropriately respected, showing an error message when the maximum threshold of the product is exceeded when the user tries to add to cart. [35]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","17680","On the Product Details Page I am able to view and select Add Ons (Badges, Personalization, etc.) of various types. If these Add Ons result in a price change, that price change will be communicated both on the Add On selection and in the total price displayed under the product name. [33]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","4676","When I see widgets with a background image and a callout card / image pair on top of that, I should be able to clearly read all the text on the widget [22]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","36090","When I search for any product on the search page, the default sort of the results is ""Relevancy"" [57]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","14232","Clicking the remove button in the cart removes the line item from the cart entirely [14]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","17239","On the Checkout Page, I am presented with the option to apply a discount code. [11]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","9949","Changing (adding or removing) selected facets while on a page other than the first, resets users to the first page of results [64]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","14877","On the Search PLP, I am able to view relevant products for that search, sorted by relevancy to the search term [59]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","13842","On any page, when I look at a Product Card, I should be able to see that product's name, primary image, the highest priority product badge, retail price, discount price and contract price. [46]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","7024","On the Product Details Page, I am able to view the product size guide for relevant products with size guides. [30]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","7176","On the Product Details Page, I am able to view the single highest priority product badge at the top of the product card. [29]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","10316","When I visit our storefronts at the root path (i.e. shop.xyz.com/), I am presented with a content page which does not error out [15]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","9434","Changing the sort order while on a page on than the first, resets users to the first page of results [63]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","14791","[Desktop] On the Product Listing Page, I am able to open the sort dropdown and sort correctly by the various sort options in the dropdown (Best Sellers, Alphabetically, Price, Created Date,... etc) [50]","chromium","2026-03-31","passed","2026-03-31","","06-product-listing.spec.ts","",""
"","27676","On the Checkout Page, I am prompted to select my country and enter my shipping address. The shipping address form should be customized to match my selected country's address format (no postal code in the UK as an example). [7]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","7375","On the Product Details Page, I am able to view the product breadcrumb, which is based on the product's primary category. Known Bug 50342 [28]","chromium","2026-03-31","passed","2026-03-31","","05-product-details.spec.ts","",""
"","30303","When I have gone to checkout and submitted my address then gone back to the homepage and open my mini cart, I am able to view the line items on my order, their prices, the order subtotal, any relevant item level discounts, and relevant order level discounts, taxes, shipping, and then the final total. [1]","chromium","2026-03-31","passed","2026-03-31","","01-cart-minicart.spec.ts","",""
"","14777","When I search for a product that doesn't exist or gibberish text (ex. sdlkfjasdl), I am not shown any results

Known Bug 51226 [56]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","17778","[Real Madrid, BVB, Standard] When I scroll down the homepage, the navbar should dissapear. When I scroll back up any amount, the navbar should re-appear [19]","chromium","2026-03-31","passed","2026-03-31","","03-homepage-navigation.spec.ts","",""
"","74191","On the Checkout Page, I am presented with the option to pay by credit card. [12]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","13067","On the Product Listing Page sufficient size, I am able to navigate to subsequent pages by using the pagination controls at the bottom of the page. We can test this by doing an empty search [61]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
"","40957","On the order confirmation page, the customers correct address, name, payment summary (with multiple line items if split fulfillment), and shipping cards (multiple if split fulfillment) with correct badge are rendered [13]","chromium","2026-03-31","passed","2026-03-31","","02-checkout.spec.ts","",""
"","12124","[Standard] On a Product with multiple colors, if color swatches are defined in Contentful I should see them on the Product cards on the search results page. MyShops and Legends have color swatches defined. [62]","chromium","2026-03-31","passed","2026-03-31","","07-search.spec.ts","",""
